"Campaign","Category","Sub-Category","Backers","Pledged","Goal","Outcome","Country","Campaign Length","Campaign Bucket"
"How to be a Supervillain and Love Life Doing it","Publishing","Publishing",93,"3635","3500","successful","US",30,"Medium"
"Deck of Thieves","Games","Tabletop Games",702,"14320","6000","successful","US",8,"Short"
"Booster Pack Subscription Box","Comics","Comics",1,"5","875","failed","US",45,"Long"
"Le Carré-Commuter Backpack","Fashion","Accessories",14,"1636","1155","successful","FR",22,"Medium"
"Grannies Ballet","Dance","Workshops",0,"0","28072","failed","GB",45,"Long"
"Artificial Heartache: A Jonathan Coulton Musical Film","Film & Video","Film & Video",36,"1862","1000","successful","US",35,"Long"
"Tattoo Expression T-Shirts by Ink & Freedom","Fashion","Fashion",9,"245","4000","failed","US",30,"Medium"
"Angel Heart Adventures ~A Trilogy Publishing / Marketing","Publishing","Children's Books",74,"14678","14500","successful","US",30,"Medium"
"Hand Poured, Fragranced, Soy Candle, in a Coconut","Crafts","Candles",3,"45","364","failed","AU",30,"Medium"
"Peace of Mind","Games","Video Games",1,"20","2000","failed","US",30,"Medium"
"Happy and You Know It","Film & Video","Shorts",129,"18651","18500","successful","US",30,"Medium"
"WEAY Broadcasting","Journalism","Journalism",0,"0","100000","failed","US",59,"Long"
"MAKING METAL with GEORGE - Heavy metal song commissions","Music","Metal",12,"685","1500","failed","US",7,"Short"
"THE SEXTONES | MOONLIGHT VISION","Music","R&B",63,"3086","1","successful","US",60,"Long"
"Carbon Fibre Rulers","Design","Product Design",525,"8457","410","successful","GB",30,"Medium"
"Inlay wood ring (Canceled)","Art","Art",3,"71","125","canceled","CA",14,"Short"
"We want to record in the House Dave Matthews Built","Music","Hip-Hop",0,"0","5000","failed","US",15,"Medium"
"Kreatives Photoshop-Composing (Videotutorial) (Canceled)","Art","Digital Art",6,"432","3651","canceled","DE",45,"Long"
"A New Tent, Display Case & Signage for Lisas Cookie Jar","Food","Food",3,"57","650","failed","US",32,"Long"
"Slicks Travel System: One Backpack, Limitless Possibilities.","Design","Product Design",2045,"609099","91802","successful","CH",28,"Medium"
"Dysfunctional Families Card Game - You'll Say Funny Things!","Games","Tabletop Games",63,"1267","13","successful","US",60,"Long"
"Kegels for Hegel Presents F*cking with Philosophers","Art","Conceptual Art",51,"1049","500","successful","US",14,"Short"
"Dvo?ák's Love Songs A Music Film Project by Katie Kat","Music","Classical Music",60,"5033","5000","successful","US",30,"Medium"
"Waltzing Matilda? (Canceled)","Theater","Theater",1,"61","353","canceled","GB",30,"Medium"
"The Monkey's Paw","Film & Video","Shorts",2,"45","1000","failed","US",60,"Long"
"DEADBEAT a short film by Danielle Morgan","Film & Video","Shorts",51,"3501","3500","successful","US",60,"Long"
"Star Squad","Film & Video","Animation",0,"0","3200","failed","US",31,"Long"
"History Robot, cognitive smart tech educational app for kids","Technology","Software",1,"1","20000","failed","US",60,"Long"
"For Good Measure's Debut Album","Music","Pop",85,"5710","5501","successful","US",54,"Long"
"J.G. BOCCELLA'S First Music Video...","Music","Music",5,"155","2500","failed","US",30,"Medium"
"Maria Diebolt Wants To Record Her Debut Album Inner Beauty","Music","Pop",34,"2335","7500","failed","US",30,"Medium"
"DIY fully upgradeable windows 8 tablet how to guide","Technology","Technology",128,"2132","800","successful","US",45,"Long"
"Initia Elemental Arena - Sorcery Arena Shooter (Canceled)","Games","Video Games",34,"2346","35980","canceled","GB",30,"Medium"
"LEKKER: The revolutionary coffee filter","Food","Food",29,"2326","10963","failed","NL",30,"Medium"
"Help me Create my first Album!","Music","Indie Rock",7,"130","2500","failed","US",30,"Medium"
"The Architecture Lobby Newsletter","Art","Public Art",40,"1785","1600","successful","US",22,"Medium"
"From Seed to Sprout organic grocery","Food","Food",158,"25037","25000","successful","US",60,"Long"
"We Are The Children Project","Music","Indie Rock",2,"40","5000","failed","US",25,"Medium"
"The Crack of Don","Comics","Comics",2,"1","1523","failed","CA",8,"Short"
"Chuckapalooza Outdoor Arts & Music Festival","Music","Music",3,"7","10000","failed","US",26,"Medium"
"New Online Horror Short Film","Film & Video","Horror",1,"50","300","failed","US",30,"Medium"
"HPSCHD Dragonslayer t-shirt","Fashion","Fashion",7,"245","500","failed","US",30,"Medium"
"Feel Cooler for a Better Nights Sleep","Technology","Technology",2,"2","25000","failed","US",54,"Long"
"Deleted (Canceled)","Art","Art",1,"6","56","canceled","CA",25,"Medium"
"Liivee Art & Design- A Creative World For All!","Art","Art",9,"630","3500","live","US",30,"Medium"
"Morgantown","Film & Video","Film & Video",72,"6230","6000","successful","US",51,"Long"
"Vizavoo Beauty on Demand App","Technology","Apps",7,"1370","40000","failed","US",32,"Long"
"BUDDY (HORROR FILM TRAILER)","Film & Video","Shorts",3,"30","4000","failed","US",30,"Medium"
"SWEET DREAMS CTHULHU: A Lovecraftian Bedtime Board Book","Publishing","Children's Books",1680,"91605","15000","successful","US",30,"Medium"
"The Bombing of the Grand Hotel. A compelling new play","Theater","Plays",57,"6166","6073","successful","GB",30,"Medium"
"Caleo - The line-voltage smart thermostat (Canceled)","Technology","Hardware",87,"14381","66013","canceled","CA",30,"Medium"
"Largest User Interface Library for Keynote and Powerpoint","Design","Design",22,"915","5000","failed","US",35,"Long"
"Brothers in Arms Building Better Lives Workshop For Men","Food","Spaces",2,"58","12146","failed","CA",30,"Medium"
"One World-One Day","Film & Video","Documentary",7,"240","48600","failed","US",30,"Medium"
"Positive Predictions for a Positive World","Publishing","Nonfiction",0,"0","50000","failed","US",30,"Medium"
"Rhys' Thesis: Tristan and Zooey","Film & Video","Shorts",203,"9381","9000","successful","US",60,"Long"
"Asheville Foundation DIY Skatepark","Design","Architecture",13,"725","2000","failed","US",45,"Long"
"Dave & Kel: A Time-Traveling Webseries","Film & Video","Webseries",63,"4169","15000","failed","US",31,"Long"
"Este Instante New album!","Music","World Music",261,"11415","10000","successful","US",90,"Long"
"Darren The Cowboy- Harry Potter meets The Old West","Publishing","Fiction",0,"0","950","failed","US",30,"Medium"
"The Story of My Life -- be a part of it!","Theater","Theater",14,"2003","2000","successful","US",30,"Medium"
"little victories","Art","Art",7,"557","3154","failed","GB",16,"Medium"
"Talk Nerdy to Me","Film & Video","Narrative Film",2,"55","10000","failed","US",60,"Long"
"Unfold: Art Exhibit","Art","Art",18,"342","329","successful","CA",30,"Medium"
"The Muse: a haunting feature film experience","Film & Video","Shorts",19,"1895","10000","failed","US",60,"Long"
"Have You Seen Catherine the Caterpillar?","Publishing","Children's Books",0,"0","800","failed","US",30,"Medium"
"Carson Rockin' Rodizio Brazilian BBQ Conversion Kit","Design","Product Design",194,"63163","200000","failed","US",32,"Long"
"Beautiful Faces !!!!!!","Film & Video","Shorts",0,"0","10000","failed","US",30,"Medium"
"Lotia - RPG Indie Game","Games","Video Games",111,"10389","10000","successful","US",60,"Long"
"Knag - the Cycle wall mount","Design","Product Design",5,"28","931","failed","NO",7,"Short"
"-inLOVEbag- when words dont come easy","Design","Product Design",2,"85","11844","failed","DE",31,"Long"
"Restaurant Delivery Service","Food","Restaurants",2,"36","5000","failed","US",37,"Long"
"Full Service","Film & Video","Shorts",21,"1010","300","successful","US",30,"Medium"
"CLIMATEHAGEN","Games","Mobile Games",3,"24","11631","failed","DK",22,"Medium"
"Liberty Back Playing Card Decks Designed By Jackson Robinson","Games","Playing Cards",356,"25412","5000","successful","US",30,"Medium"
"Love MKE. Blow Up a Car.","Film & Video","Narrative Film",96,"10082","10000","successful","US",40,"Long"
"Podere Di Valli Bio Restaurant","Food","Farms",0,"0","47883","failed","IT",45,"Long"
"Desserts (Canceled)","Food","Food",8,"780","35000","canceled","US",21,"Medium"
"Grain Audio - Speakers for Music Fans - FINAL HOUR","Design","Product Design",610,"155823","120000","successful","US",35,"Long"
"The Sub Arctic Expedition","Art","Art",29,"1870","1500","successful","US",30,"Medium"
"My Daddy's In Jail","Publishing","Children's Books",18,"577","7500","failed","US",60,"Long"
"Fully Reclinable, Lightweight Computer Workstation","Technology","Hardware",7,"220","71429","failed","US",30,"Medium"
"Beatrice Daniele Leather Jewelry","Fashion","Jewelry",6,"786","3444","failed","IT",30,"Medium"
"Daisy Comics","Comics","Comic Books",7,"513","2000","failed","US",31,"Long"
"PetGo - Feed and Watch your Pet from Anywhere!","Technology","Gadgets",0,"0","10099","failed","DK",30,"Medium"
"Supreme Team, a comic about crime, crack, and hip-hop","Comics","Comic Books",102,"5153","5000","successful","US",28,"Medium"
"All About Adding Answers Puzzle Book","Games","Games",30,"496","5000","failed","US",50,"Long"
"PrivaShade (Canceled)","Design","Product Design",3,"572","2600","canceled","US",30,"Medium"
"Bystander: A short film","Film & Video","Shorts",22,"5080","5000","successful","US",30,"Medium"
"WILDCATS: The Series","Film & Video","Webseries",102,"5836","5500","successful","US",45,"Long"
"Andi the alien and the fourth grade science project","Publishing","Children's Books",0,"0","10000","failed","US",28,"Medium"
"Doodling Time @ International Fine Art Fair for A Good Cause","Art","Art",8,"1134","5000","failed","US",60,"Long"
"I Love Being ME - For all Multi-Ethnic People","Fashion","Fashion",1,"35","10000","failed","US",45,"Long"
"Nummy","Food","Food",0,"0","1000","failed","US",60,"Long"
"NIGHTIDE","Theater","Experimental",21,"5011","5000","successful","US",30,"Medium"
"Zebra Collection luxury brand","Fashion","Apparel",0,"0","10000","failed","US",33,"Long"
"Last Call for Mars! (Canceled)","Publishing","Nonfiction",17,"1022","17848","canceled","DE",14,"Short"
"Hitler's Daughter","Film & Video","Documentary",33,"7659","97936","failed","GB",21,"Medium"
"My Body Is Not Your Battleground in Pakistan","Photography","People",61,"1682","1261","successful","GB",27,"Medium"
"Chris Monti's new Record Three Weddings and a Funeral","Music","Music",55,"2186","1710","successful","US",50,"Long"
"Sean Michel - Roots Gospel Record","Music","Music",228,"20565","20000","successful","US",31,"Long"
"Be a part of Potcheen's 6th album  ~ Take No Prisoners","Music","World Music",36,"8061","8000","successful","US",30,"Medium"
"ECTO IE - Bringing a legend back to life!","Film & Video","Film & Video",3,"100","15000","failed","US",30,"Medium"
"Planet Cute Defense (Canceled)","Games","Video Games",3,"3","2500","canceled","US",30,"Medium"
"Native American Language Book for Children","Publishing","Children's Books",4,"53","5000","failed","US",30,"Medium"
"The Lightkeeper","Film & Video","Shorts",155,"17635","15000","successful","US",10,"Short"
"Football, Take Me Home - The fans who took on an earthquake.","Film & Video","Documentary",74,"7675","28620","canceled","GB",34,"Long"
"A beautiful rose for a beautiful vibe (Canceled)","Crafts","Stationery",0,"0","500","canceled","US",30,"Medium"
"Batlab: A Battery Testing System for Lithium Ion 18650 Cells","Technology","DIY Electronics",73,"12176","7500","successful","US",60,"Long"
"A Saint to Whisper (Canceled)","Publishing","Fiction",1,"100","20000","canceled","US",37,"Long"
"AZ Brewing Company","Food","Drinks",0,"0","5000","canceled","US",21,"Medium"
"Together We Walk: Animal Kill Shelter Awarness Documentary","Film & Video","Documentary",43,"2130","1500","successful","US",30,"Medium"
"The Creative Solutions Deck","Design","Graphic Design",268,"12705","2907","successful","GB",30,"Medium"
"Fund our YouTube series SuperheroShowdown! (Summer 2013)","Film & Video","Webseries",0,"0","1950","canceled","GB",60,"Long"
"Mythologia","Music","Classical Music",3,"182","1000","failed","US",30,"Medium"
"The Art of Bullying","Art","Conceptual Art",3,"17","160","live","DK",30,"Medium"
"A $7.99 6-Pack You Deserve!! (Canceled)","Food","Food",8,"237","8","canceled","US",30,"Medium"
"Fugu Food Truck: Authentic Asian Street Food On Wheels","Food","Food Trucks",128,"10789","10000","successful","US",35,"Long"
"BuzzBox: Advanced Beehive Sensor & Smartphone App","Technology","Hardware",229,"35146","20000","successful","US",35,"Long"
"Piano Nocturnes Album Recording - David Quigley","Music","Classical Music",59,"13836","13251","successful","GB",30,"Medium"
"Demise of Denmark Street","Film & Video","Documentary",35,"1874","31769","failed","GB",10,"Short"
"The Curse of the Older Sister, A Novel","Publishing","Fiction",16,"680","3250","failed","US",40,"Long"
"Spencer Simmons -Draw Me Closer- Summer Tour","Music","Music",36,"5020","5000","successful","US",43,"Long"
"EL PRESIDENTE- Lincoln Inspired Automatic Timepiece","Design","Product Design",166,"74354","50000","successful","US",30,"Medium"
"Ron Greene's 2nd Studio Release!!  GRE3NE unleashed  :)","Music","Rock",22,"1560","1500","successful","US",60,"Long"
"Jayden Lee Support Page","Publishing","Publishing",0,"0","2500","canceled","US",26,"Medium"
"Aerindo Graphic Novel","Comics","Comics",12,"460","8500","failed","US",30,"Medium"
"I Fell in Love with a Psychopath","Film & Video","Shorts",48,"4377","18500","failed","US",30,"Medium"
"Lore Lords Podcast: The Story Behind Your Favorite Stories","Journalism","Audio",2,"25","500","failed","US",35,"Long"
"To Love and Be Cherished: Finding True Love With A Real Man","Publishing","Young Adult",3,"105","4000","failed","US",30,"Medium"
"Parking Pilot (Canceled)","Technology","Apps",2,"2","147","canceled","DK",60,"Long"
"Thought Dreams America Phase 1 Kickstarter Campaign Launch","Art","Digital Art",1,"5","18000","failed","US",10,"Short"
"Ed's Story - A series about hope. (Canceled)","Film & Video","Shorts",0,"0","100000","canceled","US",27,"Medium"
"A Michael Buble' Dinner Show","Music","Pop",32,"1136","250","successful","US",30,"Medium"
"DJ Janko over the world","Music","Music",2,"14","37040","failed","NL",30,"Medium"
"Handstamp the nation","Crafts","Crafts",2,"46","2089","failed","GB",29,"Medium"
"Jeremy Kyle- The Opera","Theater","Musical",1,"2","5929","failed","GB",35,"Long"
"Sittin' the Wood","Film & Video","Documentary",29,"1217","1200","successful","US",58,"Long"
"THE AFTERGLOW featuring members of Third Eye Blind","Music","Rock",81,"4554","2000","successful","US",30,"Medium"
"The Next Fifty Dances","Music","Country & Folk",67,"9717","5980","successful","GB",30,"Medium"
"Bitcoin Wallet CARD","Technology","Technology",7,"71","500","failed","US",31,"Long"
"Radio Love - A KSU Student Short Film (Set in 1960's)","Film & Video","Shorts",2,"150","2000","failed","US",30,"Medium"
"MIXTAPE - THE SONG & SCENARIO CARD GAME.","Music","Music",100,"15368","15000","successful","US",31,"Long"
"Please contribute to BuckGet.com igg.me/at/buckget/x/4847599","Technology","Web",4,"13","10000","failed","US",35,"Long"
"Painting Recharged (Canceled)","Art","Painting",0,"0","2500","canceled","US",36,"Long"
"Colorkeys: Helping Kids Learn Piano","Technology","Software",27,"3323","50000","failed","US",30,"Medium"
"Torque - Tribal Challenge","Games","Video Games",39,"920","58002","failed","DE",60,"Long"
"The Willie Family: Have fun with them...hang them and relax!","Design","Product Design",1,"25","3000","canceled","US",30,"Medium"
"Moonage","Comics","Comic Books",12,"257","2000","failed","US",30,"Medium"
"Sounds from a concrete City Live!","Music","Music",4,"117","1946","failed","GB",30,"Medium"
"Mastering the Art of Martian Cooking","Publishing","Art Books",16,"892","4500","failed","US",45,"Long"
"20mm Hoween Shell Cordovan Color #8 Watch Strap","Fashion","Accessories",1,"55","500","failed","US",36,"Long"
"Décor Divin","Crafts","Crafts",7,"245","1500","failed","US",30,"Medium"
"Coven","Games","Playing Cards",0,"0","5000","failed","US",40,"Long"
"A Community Kitchen is Coming to Cambridge, MA","Food","Food",193,"12713","11111","successful","US",48,"Long"
"Im My Own Mom","Publishing","Children's Books",8,"369","100","successful","US",44,"Long"
"Lets Break the Silence","Dance","Dance",70,"7314","7000","successful","US",60,"Long"
"UCSB's Filmmakers Co-Op Short Film and Music Festival","Film & Video","Film & Video",21,"1010","1000","successful","US",30,"Medium"
"Canvas By Callas","Art","Art",27,"1184","10000","failed","US",30,"Medium"
"My Gun-Range Video Game App for Android and Iphone","Games","Mobile Games",0,"0","5000","failed","US",30,"Medium"
"Publication of The History and Stories of The Capay Valley","Publishing","Nonfiction",11,"680","6000","failed","US",60,"Long"
"Reaper's life","Film & Video","Webseries",0,"0","2917","canceled","FR",35,"Long"
"The Million Man March - The Untold Story","Film & Video","Documentary",6,"130","1000","failed","US",45,"Long"
"pflegebook.de hilft Menschen die wirklich Hilfe brauchen!","Technology","Web",0,"0","16738","failed","AT",30,"Medium"
"Farming Camps for Families","Food","Farms",2,"18","2000","failed","US",30,"Medium"
"Board Game Character Miniature Sculpted Player Needed!","Games","Tabletop Games",6,"143","5000","failed","US",56,"Long"
"The Cave Paleo Beastro","Food","Restaurants",5,"1250","47078","failed","CA",30,"Medium"
"Word. The Urban Musical about the End of Hip-Hop","Theater","Theater",1,"1","5000","failed","US",30,"Medium"
"Operation Lateef Takes LA (Canceled)","Film & Video","Webseries",9,"278","3000","canceled","US",30,"Medium"
"A CHILD'S 1ST SCIENCE BOOK: I Found A Funny Rock","Publishing","Children's Books",1,"14","2100","failed","US",30,"Medium"
"Solid Ray Woods Records A Full Album!","Music","Music",73,"2578","10000","failed","US",30,"Medium"
"Ninja Pizza Girl","Games","Video Games",1404,"23445","21206","successful","AU",30,"Medium"
"Virtual Reality and eSports Center in Portland","Games","Video Games",0,"0","500000","failed","US",28,"Medium"
"News paper online","Technology","Web",0,"0","18254","failed","IT",60,"Long"
"Explore God's kingdom: Everyday Life with Animal Cartoons(1)","Publishing","Children's Books",3,"8","13871","failed","CA",15,"Medium"
"Gator Tales","Publishing","Publishing",0,"0","1500","canceled","US",30,"Medium"
"An Elite: Dangerous Book - Out of the Darkness","Publishing","Fiction",508,"12411","10166","successful","GB",15,"Medium"
"The Gearhead Life - Automotive Video Series (Canceled)","Film & Video","Webseries",0,"0","1250","canceled","US",50,"Long"
"JuliousBass solo Album","Music","Jazz",1,"35","5000","failed","US",30,"Medium"
"Set it hot. Set it cold. Muggino® keeps it that way.","Design","Product Design",182,"18708","62741","canceled","AU",15,"Medium"
"New Music from Sue Young","Music","Country & Folk",22,"781","400","successful","US",25,"Medium"
"Catch the Spirit & Give Back! Sports Kitten Spirit Jersey.","Fashion","Apparel",5,"275","25000","failed","US",30,"Medium"
"Open the ONLY Japanese Curry house in Las Vegas, NV!","Food","Food",26,"1042","4000","failed","US",31,"Long"
"MAMO short-film","Film & Video","Shorts",66,"5957","5889","successful","GB",45,"Long"
"Rapid Wallet: Fast and Built to Last","Design","Design",136,"3832","20000","failed","US",46,"Long"
"The World's Most Elegant Frameable Metal Greeting Card","Design","Product Design",1,"6","278000","failed","US",30,"Medium"
"Clyde & Foothead Conquer Storm Peak (10,500 ft.)","Publishing","Children's Books",4,"120","500","failed","US",45,"Long"
"BOTTOMS UP!","Design","Product Design",39,"1221","40808","failed","US",31,"Long"
"Cook Jinni Mobile App","Technology","Software",3,"800","8100","failed","US",48,"Long"
"Up-cycled Teacup Bird Feeder","Crafts","Crafts",2,"65","4000","failed","US",30,"Medium"
"Language of Learning Conversation Kit","Publishing","Nonfiction",2,"65","1000","live","US",25,"Medium"
"Alex Preston Album #2","Music","Music",124,"13316","5000","successful","US",30,"Medium"
"CERTA INCERTA show in Mexico","Art","Art",31,"2100","2090","successful","GB",21,"Medium"
"AbandonedEX: Urban Exploration","Film & Video","Television",7,"176","6000","failed","US",60,"Long"
"Stone Textured Foam Sheets for Wargames and RPG Scenery","Games","Tabletop Games",154,"9447","2519","successful","GB",32,"Long"
"SPIN the Movie","Film & Video","Film & Video",0,"0","200000","failed","US",28,"Medium"
"The USA Graphic Design Festival (Canceled)","Art","Digital Art",0,"0","20000","canceled","US",50,"Long"
"Bergin Bag: Full-Grain Leather Travel Bag","Design","Product Design",4,"1760","6500","canceled","US",30,"Medium"
"Out Like Lambs & YOU are making a 10 vinyl record!","Music","Country & Folk",42,"2521","2500","successful","US",32,"Long"
"TreeWell, Maple Sap Beverage","Food","Food",296,"15694","10530","successful","CA",60,"Long"
"Artifacts of Confinement","Publishing","Art Books",0,"0","4000","failed","US",30,"Medium"
"Frozen Styph","Theater","Immersive",2,"2","18720","failed","US",30,"Medium"
"Dirty Work Vol 2: A collection of adult art by Johnny Segura","Comics","Comics",54,"4791","300","successful","US",45,"Long"
"Search (SEEK Book 1) Audio Version","Publishing","Young Adult",0,"0","1000","failed","US",30,"Medium"
"ChuSingura46+1 - A Visual Novel with Moe Samurai Girls","Games","Video Games",131,"6285","210000","canceled","US",31,"Long"
"If We Get Sean, They Will Come.","Dance","Dance",18,"1069","7500","failed","US",30,"Medium"
"E-Dow - smart Window Timer","Technology","Gadgets",1,"1","78202","failed","IT",30,"Medium"
"Expiration Z/E/D","Games","Games",2,"21","3000","failed","US",20,"Medium"
"Rad Clothing Co","Fashion","Apparel",2,"200","5000","failed","US",60,"Long"
"Sucheus Website Directory (www.sucheus.com)","Technology","Web",0,"0","3000","failed","US",30,"Medium"
"Achluophobic","Music","Metal",48,"3418","3000","successful","US",28,"Medium"
"Wizard of Oz playing cards Bicycle & Impressions by L.F Baum","Games","Playing Cards",288,"11639","14000","failed","US",30,"Medium"
"Bridget Davis + the Viking Kings First Full Length Album!","Music","Indie Rock",130,"7029","6500","successful","US",25,"Medium"
"This Thing Called Happiness (Khusee Bhaneko)","Film & Video","Documentary",13,"615","500","successful","US",30,"Medium"
"Wander - by Red Panda Miniatures ©2016","Games","Tabletop Games",140,"7508","6000","successful","US",46,"Long"
"Zombie Riders","Comics","Comic Books",4,"30","10000","failed","US",30,"Medium"
"The Future of Facebook Project","Technology","Technology",98,"6737","5000","successful","US",30,"Medium"
"You're a Butt Handmade Plush Gag Gifts","Crafts","Crafts",7,"172","5220","failed","GB",11,"Short"
"Jail Bait & Trailer Trash a Mature Comic Book Graphic Novel","Comics","Graphic Novels",378,"10018","9500","successful","US",9,"Short"
"Hot off the press...get your Ate9dANCEcOMPANY calendar!","Dance","Dance",37,"3320","3000","successful","US",20,"Medium"
"Untitled Sukkah: A Project for the Sukkah City STL","Art","Public Art",19,"1230","800","successful","US",30,"Medium"
"Red Stitch Classics","Publishing","Children's Books",8,"140","1336","failed","AU",30,"Medium"
"Women In Tech: The Book!","Comics","Anthologies",772,"32226","28800","successful","US",9,"Short"
"Drawings and Arts","Art","Illustration",263,"3713","500","successful","US",61,"Long"
"Seersucker Live 2013 Performance Series","Theater","Theater",33,"1003","1000","successful","US",45,"Long"
"A 60 Minute Brother - feature film (Canceled)","Film & Video","Film & Video",0,"0","1000","canceled","US",37,"Long"
"Help A SUPERBUNNY CHRISTMAS play free for children & parents","Theater","Musical",15,"3500","3500","successful","US",45,"Long"
"Audiobook Production of Strong Roads","Publishing","Fiction",4,"85","3000","failed","US",45,"Long"
"Space Key - ESS Sabre32 DSD/DXD USB DAC","Technology","Sound",443,"63356","63206","successful","GB",29,"Medium"
"Pay-Ometric","Technology","Apps",1,"11","50000","failed","US",30,"Medium"
"Food For The City","Food","Farms",0,"0","100000","failed","US",30,"Medium"
"Tony Dorsett as The American Dream and the Price He Paid","Film & Video","Webseries",39,"2265","27500","canceled","US",30,"Medium"
"LOVEBOTICS","Fashion","Fashion",67,"2117","300","successful","US",30,"Medium"
"THE ADVENTURES OF THE LAST JELLYBEAN DRAGON","Games","Video Games",8,"1050","72000","failed","US",35,"Long"
"Jack Attack - The Beginning (Canceled)","Film & Video","Shorts",3,"200","4000","canceled","US",40,"Long"
"Modern, WWII, Civil & Revolutionary War Military Army Tokens","Games","Games",4,"280","2380","canceled","US",28,"Medium"
"Undead Paradise (Canceled)","Games","Video Games",4,"225","489678","canceled","GB",30,"Medium"
"New Off-Broadway Play: SECONDARY","Theater","Theater",37,"1734","5500","failed","US",30,"Medium"
"Bizenghast Video Game","Games","Video Games",470,"51000","125000","failed","US",30,"Medium"
"Environ-Health Mini: Radiation Emergency - Survival Guide","Publishing","Publishing",0,"0","5000","undefined","NA",30,"Medium"
"PEARL JAM: The More You Need - The Less You Get","Publishing","Publishing",249,"1500","1230","successful","DK",35,"Long"
"Scrap Metal Theatre presents Fool for Love","Theater","Theater",61,"3300","3000","successful","US",30,"Medium"
"Perfect Match| The Way to Pair Cigars and Beverages.","Technology","Apps",1,"3","50000","failed","US",42,"Long"
"Hide My Heart: Tinyrun Summer 2013 T-shirt","Fashion","Fashion",21,"1094","500","successful","US",35,"Long"
"Southern Comfort","Music","Country & Folk",5,"85","7000","failed","US",37,"Long"
"On n'a qu'une vie -- A year of adventure in France","Publishing","Nonfiction",9,"115","300","failed","US",30,"Medium"
"THE BARREL: Handcrafted Watch made w/ Whiskey Barrel Wood","Fashion","Fashion",2442,"432558","25000","successful","US",32,"Long"
"BattleAxe","Games","Tabletop Games",130,"8541","110000","failed","US",30,"Medium"
"The Frozen Treatcart- a snow cone trailer (Canceled)","Food","Food",0,"0","8000","canceled","US",30,"Medium"
"The Everything Fishing Lure","Design","Product Design",11,"400","144500","failed","US",24,"Medium"
"TYPO3 Backpack","Design","Product Design",92,"14347","45917","failed","DE",34,"Long"
"Dok-Dok Document Scanner and Aluminum Case for iPad","Design","Product Design",21,"2753","13670","failed","GB",45,"Long"
"FOR THE LOVE : Wear your Heart on your Sleeve","Fashion","Apparel",0,"0","5000","failed","US",30,"Medium"
"Project illuminated","Film & Video","Film & Video",0,"0","32448","failed","CA",62,"Long"
"Stove Stoppaz","Design","Product Design",12,"413","16000","failed","US",30,"Medium"
"Monster in soloNOVA","Theater","Theater",33,"2604","2500","successful","US",60,"Long"
"Bumple Games","Publishing","Children's Books",5,"95","3000","failed","US",13,"Short"
"Letters & Love","Art","Public Art",9,"48","200","failed","US",31,"Long"
"One Million Lovely Letters + Dramatic Need Exhibition!","Art","Mixed Media",60,"1233","854","successful","GB",30,"Medium"
"Be a patriot!  Propositum brand apparel is here!","Fashion","Fashion",7,"440","15000","failed","US",30,"Medium"
"Zenbivy Bed. The most comfortable backcountry sleeping bag.","Design","Product Design",434,"120648","50000","successful","US",20,"Medium"
"Locate your local swingers an app to bring us together!!","Technology","Apps",3,"15","15000","failed","US",30,"Medium"
"Cairns Church Stores. Suppling Church and religious items.","Fashion","Jewelry",1,"11","2844","failed","AU",61,"Long"
"Clever Crow Pizza (Canceled)","Food","Food",43,"2201","25000","canceled","US",32,"Long"
"[ALBUM] GLOW -  HALFMANHALF X CALVIN VALENTINE","Music","Hip-Hop",19,"1115","1000","successful","US",30,"Medium"
"Radio Book Club","Publishing","Radio & Podcasts",4,"150","8500","failed","US",33,"Long"
"Haptica Braille Watch","Design","Product Design",390,"56300","150000","failed","US",30,"Medium"
"Robots, Drones, Cybers 28mm miniatures sci-fi alien scenery","Games","Tabletop Games",156,"11662","1000","successful","US",19,"Medium"
"Custom Wooden Decor","Crafts","Woodworking",1,"10","7000","failed","US",30,"Medium"
"Lead the Emergence","Art","Mixed Media",0,"0","1900","failed","US",30,"Medium"
"Designed for fit. Loved for style.","Fashion","Apparel",0,"0","20000","failed","US",11,"Short"
"Pieces and Parts (Gets Printed) Project (Canceled)","Publishing","Children's Books",38,"1815","10000","canceled","US",45,"Long"
"Photograph the moment","Photography","Photography",12,"226","2000","failed","US",29,"Medium"
"The Legend of Bonny Anne Bonny","Theater","Theater",39,"2449","1500","successful","US",30,"Medium"
"My Next Album, My Songs, My Dream.  We Can Do This!","Music","Country & Folk",7,"226","20000","failed","US",30,"Medium"
"All These Flowers 2.0","Film & Video","Documentary",110,"9147","8000","successful","US",45,"Long"
"Fresh Start Album and tour","Music","Hip-Hop",1,"1","6000","failed","US",41,"Long"
"Detroit HYE Times - Armenian Music in Detroit","Film & Video","Documentary",107,"8385","5000","successful","US",60,"Long"
"A Nonprofit After School Inspiring Kids to be Video Makers.","Film & Video","Film & Video",16,"710","53800","failed","US",30,"Medium"
"Guilt Trip Stoked//Broke Tour","Film & Video","Film & Video",0,"72","952","undefined","NA",30,"Medium"
"Original Feature Film about Transgenders - Chinese Story","Film & Video","Narrative Film",1,"35","20000","failed","US",7,"Short"
"BHQFU and Fiends de Siecle! present VICTOR K.","Theater","Theater",29,"1090","500","successful","US",30,"Medium"
"Zombie Craze","Games","Tabletop Games",4,"51","8495","failed","CA",31,"Long"
"Interregnum - Build your realm and claim the crown","Games","Tabletop Games",126,"6804","20000","canceled","US",17,"Medium"
